,extended,crit3,suicide,property,targtype1,attacktype1,gname,weaptype1,country_txt,success
22447,0,1,0,1,1,3,Shining Path (SL),6,Peru,1
22451,0,1,0,1,3,2,Manuel Rodriguez Patriotic Front (FPMR),5,Chile,1
22452,0,1,0,1,3,2,Manuel Rodriguez Patriotic Front (FPMR),5,Chile,1
22453,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22454,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22455,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22456,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22458,0,1,0,0,2,3,Shining Path (SL),6,Peru,0
22459,0,1,0,1,21,3,Farabundo Marti National Liberation Front (FMLN),6,El Salvador,1
22460,0,1,0,1,21,3,Farabundo Marti National Liberation Front (FMLN),6,El Salvador,1
22461,0,1,0,1,21,3,Farabundo Marti National Liberation Front (FMLN),6,El Salvador,1
22462,0,1,0,1,21,3,Farabundo Marti National Liberation Front (FMLN),6,El Salvador,1
22463,0,1,0,1,21,3,Farabundo Marti National Liberation Front (FMLN),6,El Salvador,1
22466,0,0,0,1,4,2,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
22467,0,0,0,1,4,2,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
22470,0,1,0,1,1,3,Shining Path (SL),13,Peru,1
22471,0,1,0,1,1,3,Shining Path (SL),6,Peru,1
22472,0,1,0,1,1,3,Shining Path (SL),6,Peru,1
22473,0,1,0,1,14,3,Shining Path (SL),6,Peru,1
22474,0,1,0,1,14,3,Shining Path (SL),6,Peru,1
22475,0,1,0,1,14,3,Shining Path (SL),6,Peru,1
22476,0,1,0,1,14,3,Shining Path (SL),6,Peru,1
22480,0,1,0,0,3,1,Shining Path (SL),5,Peru,0
22481,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22482,0,1,0,1,14,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22483,0,1,0,1,14,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22484,0,1,0,1,1,3,Shining Path (SL),6,Peru,1
22485,0,1,0,1,14,2,Shining Path (SL),13,Peru,1
22486,0,1,0,1,3,2,Shining Path (SL),5,Peru,1
22487,0,1,0,1,3,2,Shining Path (SL),5,Peru,1
22488,0,0,0,1,4,3,Manuel Rodriguez Patriotic Front (FPMR),6,Chile,1
22489,0,0,0,1,4,3,Manuel Rodriguez Patriotic Front (FPMR),6,Chile,1
22496,0,1,0,1,1,3,Shining Path (SL),6,Peru,1
22497,0,1,0,1,1,3,Shining Path (SL),13,Peru,1
22498,0,1,0,1,1,3,Shining Path (SL),13,Peru,1
22499,0,1,0,1,1,3,Shining Path (SL),13,Peru,1
22500,0,1,0,1,8,3,Shining Path (SL),13,Peru,1
22501,0,1,0,1,8,3,Shining Path (SL),13,Peru,1
22502,0,1,0,1,3,3,Shining Path (SL),6,Peru,1
22503,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22504,0,1,0,1,3,3,Shining Path (SL),13,Peru,1
22505,0,1,0,0,1,4,Shining Path (SL),5,Peru,0
22506,0,1,0,1,14,7,Shining Path (SL),8,Peru,1
22507,0,1,0,1,3,3,Shining Path (SL),6,Peru,1
22510,0,1,0,1,1,3,Shining Path (SL),6,Peru,1
22522,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22523,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22524,0,1,0,1,14,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22525,0,1,0,1,1,3,Shining Path (SL),13,Peru,1
22526,0,1,0,1,14,2,Shining Path (SL),9,Peru,1
22527,0,1,0,1,3,9,Shining Path (SL),13,Peru,1
22529,0,0,0,1,4,2,M-19 (Movement of April 19),5,Colombia,1
22530,0,0,0,1,4,2,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
22531,0,1,0,1,16,3,Farabundo Marti National Liberation Front (FMLN),6,El Salvador,1
22532,0,1,0,1,16,3,Farabundo Marti National Liberation Front (FMLN),6,El Salvador,1
22533,0,1,0,1,16,3,Farabundo Marti National Liberation Front (FMLN),6,El Salvador,1
22534,0,1,0,1,16,3,Farabundo Marti National Liberation Front (FMLN),6,El Salvador,1
22536,0,1,0,0,2,1,Shining Path (SL),5,Peru,1
22537,0,1,0,0,8,1,Shining Path (SL),5,Peru,1
22542,0,1,0,1,3,2,Shining Path (SL),5,Peru,1
22545,0,1,0,1,19,3,Farabundo Marti National Liberation Front (FMLN),6,El Salvador,1
22546,0,1,0,1,14,3,Basque Fatherland and Freedom (ETA),6,Spain,1
22547,0,1,0,0,14,1,Shining Path (SL),13,Peru,1
22548,0,1,0,0,14,1,Shining Path (SL),13,Peru,1
22549,0,1,0,0,14,2,Shining Path (SL),5,Peru,1
22550,0,1,0,0,2,1,New People's Army (NPA),13,Philippines,1
22552,0,1,0,1,19,9,M-19 (Movement of April 19),13,Colombia,1
22554,0,0,0,1,4,2,Shining Path (SL),5,Peru,1
22555,0,1,0,1,14,2,Shining Path (SL),5,Peru,1
22557,0,1,0,1,1,3,African National Congress (South Africa),6,South Africa,1
22558,0,1,0,1,21,3,Farabundo Marti National Liberation Front (FMLN),6,El Salvador,1
22559,0,1,0,1,21,3,Farabundo Marti National Liberation Front (FMLN),6,El Salvador,1
22560,0,1,0,1,21,3,Farabundo Marti National Liberation Front (FMLN),6,El Salvador,1
22561,0,0,0,1,4,3,Farabundo Marti National Liberation Front (FMLN),6,El Salvador,1
22592,0,0,0,1,4,2,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
22593,0,0,0,1,4,2,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
22594,0,0,0,1,4,2,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
22605,0,1,0,1,2,3,Shining Path (SL),6,Peru,1
22613,0,1,0,1,14,2,Shining Path (SL),5,Peru,1
22614,0,1,0,1,14,9,Shining Path (SL),13,Peru,1
22615,0,1,0,1,14,2,Shining Path (SL),5,Peru,1
22616,0,1,0,1,14,2,Shining Path (SL),5,Peru,1
22617,0,1,0,1,14,2,Shining Path (SL),5,Peru,1
22618,0,1,0,1,14,2,Shining Path (SL),5,Peru,1
22621,0,0,0,1,4,3,Irish Republican Army (IRA),6,United Kingdom,1
22622,0,1,0,1,19,7,Basque Fatherland and Freedom (ETA),8,Spain,1
22623,0,1,0,1,3,9,Shining Path (SL),13,Peru,0
22624,0,1,0,1,19,3,Farabundo Marti National Liberation Front (FMLN),6,El Salvador,1
22625,0,1,0,0,1,1,Shining Path (SL),13,Peru,1
22626,0,1,0,0,1,1,Shining Path (SL),13,Peru,1
22627,0,1,0,1,3,2,Shining Path (SL),5,Peru,1
22628,0,1,0,1,14,9,Shining Path (SL),13,Peru,1
22629,0,1,0,1,3,9,Shining Path (SL),13,Peru,1
22631,0,1,0,1,1,3,Shining Path (SL),6,Peru,1
22632,0,1,0,1,21,3,Shining Path (SL),6,Peru,1
22644,0,1,0,1,14,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22645,0,1,0,1,8,7,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22646,0,1,0,1,6,3,Shining Path (SL),6,Peru,1
22650,0,1,0,1,1,3,Shining Path (SL),6,Peru,1
22651,0,1,0,1,1,3,Shining Path (SL),6,Peru,1
22652,0,1,0,1,1,3,Shining Path (SL),6,Peru,1
22653,0,1,0,1,21,3,Shining Path (SL),6,Peru,1
22654,0,1,0,1,19,3,Shining Path (SL),6,Peru,1
22663,0,1,0,1,15,3,Shining Path (SL),6,Peru,1
22664,0,1,0,1,14,3,Shining Path (SL),13,Peru,1
22666,0,1,0,0,14,1,Shining Path (SL),5,Peru,1
22667,0,1,0,0,14,1,Shining Path (SL),5,Peru,1
22668,0,1,0,1,1,2,M-19 (Movement of April 19),10,Colombia,1
22669,0,0,0,1,4,2,Shining Path (SL),5,Peru,1
22672,0,1,0,0,2,1,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
22673,0,1,0,0,14,9,Shining Path (SL),13,Peru,1
22678,0,1,0,1,2,1,African National Congress (South Africa),8,South Africa,1
22679,0,1,0,1,2,1,African National Congress (South Africa),8,South Africa,1
22680,0,1,0,1,2,1,African National Congress (South Africa),8,South Africa,1
22681,0,1,0,1,2,1,African National Congress (South Africa),8,South Africa,1
22683,0,1,0,1,14,2,Shining Path (SL),5,Peru,1
22684,0,1,0,1,14,2,African National Congress (South Africa),8,South Africa,1
22687,0,1,0,1,3,9,Sikh Extremists,13,India,0
22692,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22693,0,1,0,1,14,2,Shining Path (SL),5,Peru,1
22694,0,1,0,1,14,2,Shining Path (SL),5,Peru,1
22695,0,1,0,1,3,2,Shining Path (SL),5,Peru,1
22696,0,1,0,1,7,3,National Liberation Army of Colombia (ELN),6,Colombia,1
22699,0,1,0,0,1,1,Shining Path (SL),5,Peru,1
22700,0,0,0,1,4,2,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
22701,0,1,0,1,21,7,Shining Path (SL),13,Peru,1
22708,0,1,0,1,1,3,Nicaraguan Democratic Force (FDN),6,Nicaragua,1
22709,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22710,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22711,0,1,0,1,14,9,Shining Path (SL),13,Peru,1
22712,0,1,0,1,14,2,Shining Path (SL),5,Peru,1
22713,0,1,0,1,14,2,Shining Path (SL),5,Peru,1
22714,0,1,0,0,3,1,Basque Fatherland and Freedom (ETA),5,Spain,1
22716,0,1,0,1,14,3,Shining Path (SL),6,Peru,1
22720,0,1,0,1,3,9,Shining Path (SL),13,Peru,1
22721,0,1,0,0,17,1,Irish Republican Army (IRA),5,United Kingdom,1
22722,0,1,0,1,6,3,Shining Path (SL),6,Peru,1
22723,0,1,0,1,14,3,Shining Path (SL),6,Peru,1
22724,0,1,0,1,14,3,Shining Path (SL),6,Peru,1
22725,0,1,0,1,14,3,Shining Path (SL),6,Peru,1
22726,0,1,0,1,14,3,Shining Path (SL),6,Peru,1
22727,0,1,0,1,14,3,Shining Path (SL),6,Peru,1
22728,0,1,0,1,14,3,Shining Path (SL),6,Peru,1
22729,0,1,0,1,14,3,Shining Path (SL),6,Peru,1
22730,0,1,0,1,14,3,Shining Path (SL),6,Peru,1
22733,0,0,0,1,4,2,M-19 (Movement of April 19),5,Colombia,1
22734,0,0,0,1,4,9,M-19 (Movement of April 19),13,Colombia,1
22735,0,1,0,1,2,7,Shining Path (SL),5,Peru,1
22736,0,1,0,1,1,3,Shining Path (SL),5,Peru,1
22737,0,1,0,1,3,9,Shining Path (SL),13,Peru,1
22741,0,1,0,1,21,3,Shining Path (SL),6,Peru,1
22742,0,1,0,1,3,3,Shining Path (SL),6,Peru,1
22750,0,1,0,0,2,1,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22751,0,1,0,0,14,1,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22752,0,1,0,0,2,1,Nicaraguan Democratic Force (FDN),5,Nicaragua,0
22753,0,1,0,0,14,1,Shining Path (SL),13,Peru,1
22755,0,1,0,1,14,2,M-19 (Movement of April 19),5,Colombia,1
22756,0,1,0,0,3,3,African National Congress (South Africa),6,South Africa,1
22757,0,1,0,1,3,3,Shining Path (SL),6,Peru,1
22759,0,1,0,1,21,3,Shining Path (SL),6,Peru,1
22760,0,1,0,1,21,3,Shining Path (SL),6,Peru,1
22761,0,1,0,1,9,3,Shining Path (SL),6,Peru,1
22762,0,1,0,1,3,3,Shining Path (SL),6,Peru,1
22763,0,1,0,1,14,3,Shining Path (SL),6,Peru,1
22766,0,1,0,1,14,2,M-19 (Movement of April 19),5,Colombia,1
22767,0,0,0,1,4,2,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
22768,0,1,0,1,3,2,Shining Path (SL),5,Peru,1
22769,0,1,0,1,15,2,Shining Path (SL),5,Peru,1
22773,0,1,0,1,3,2,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
22774,0,1,0,1,3,2,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
22775,0,1,0,1,1,2,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
22781,0,1,0,1,2,3,Shining Path (SL),6,Peru,1
22782,0,0,0,1,4,3,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
22784,0,1,0,1,14,2,Shining Path (SL),5,Peru,1
22785,0,1,0,1,14,2,Shining Path (SL),5,Peru,1
22786,0,1,0,1,14,2,Shining Path (SL),5,Peru,1
22788,0,1,0,1,21,3,Shining Path (SL),6,Peru,1
22793,0,0,0,1,4,2,Revolutionary Armed Forces of Colombia (FARC),13,Colombia,1
22796,0,1,0,1,14,9,Shining Path (SL),13,Peru,1
22797,0,1,0,1,14,2,Shining Path (SL),5,Peru,1
22798,0,1,0,1,3,2,Shining Path (SL),5,Peru,1
22799,0,0,0,1,4,2,Shining Path (SL),5,Peru,1
22800,0,1,0,1,14,2,Shining Path (SL),5,Peru,1
22802,0,0,0,1,4,2,M-19 (Movement of April 19),5,Colombia,1
22811,0,1,0,1,3,2,Shining Path (SL),5,Peru,1
22812,0,1,0,1,3,2,Shining Path (SL),5,Peru,1
22818,0,1,0,1,1,3,Manuel Rodriguez Patriotic Front (FPMR),6,Chile,1
22820,0,1,0,1,1,3,Manuel Rodriguez Patriotic Front (FPMR),6,Chile,1
22822,0,1,0,1,18,3,Manuel Rodriguez Patriotic Front (FPMR),6,Chile,1
22823,0,1,0,1,1,3,Manuel Rodriguez Patriotic Front (FPMR),6,Chile,1
22824,0,1,0,1,1,3,Manuel Rodriguez Patriotic Front (FPMR),6,Chile,1
22825,0,1,0,1,3,3,Manuel Rodriguez Patriotic Front (FPMR),6,Chile,1
22826,0,1,0,1,21,3,Manuel Rodriguez Patriotic Front (FPMR),6,Chile,1
22827,0,1,0,1,21,3,Manuel Rodriguez Patriotic Front (FPMR),6,Chile,1
22828,0,1,0,1,21,3,Manuel Rodriguez Patriotic Front (FPMR),6,Chile,1
22829,0,1,0,1,21,3,Manuel Rodriguez Patriotic Front (FPMR),6,Chile,1
22830,0,1,0,1,21,3,Manuel Rodriguez Patriotic Front (FPMR),6,Chile,1
22831,0,1,0,1,21,3,Manuel Rodriguez Patriotic Front (FPMR),6,Chile,1
22832,0,1,0,1,21,3,Manuel Rodriguez Patriotic Front (FPMR),6,Chile,1
22833,0,1,0,1,21,3,Manuel Rodriguez Patriotic Front (FPMR),6,Chile,1
22834,0,1,0,1,21,3,Manuel Rodriguez Patriotic Front (FPMR),6,Chile,1
22835,0,1,0,1,21,3,Manuel Rodriguez Patriotic Front (FPMR),6,Chile,1
22836,0,1,0,1,21,3,Manuel Rodriguez Patriotic Front (FPMR),6,Chile,1
22837,0,1,0,1,21,3,Manuel Rodriguez Patriotic Front (FPMR),6,Chile,1
22838,0,1,0,1,21,3,Manuel Rodriguez Patriotic Front (FPMR),6,Chile,1
22839,0,1,0,1,21,3,Manuel Rodriguez Patriotic Front (FPMR),6,Chile,1
22840,0,1,0,1,21,3,Manuel Rodriguez Patriotic Front (FPMR),6,Chile,1
22841,0,1,0,1,21,3,Manuel Rodriguez Patriotic Front (FPMR),6,Chile,1
22846,0,1,0,0,14,1,Sikh Extremists,5,India,1
22847,0,1,0,0,14,1,Shining Path (SL),13,Peru,1
22848,0,0,0,1,4,2,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
22849,0,0,0,1,4,2,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
22850,0,0,0,1,4,2,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
22851,0,0,0,1,4,2,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
22852,0,0,0,1,4,2,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
22853,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22854,0,1,0,1,14,9,Shining Path (SL),13,Peru,1
22855,0,1,0,1,14,9,Shining Path (SL),13,Peru,1
22856,0,1,0,1,14,2,Shining Path (SL),5,Peru,1
22857,0,1,0,1,14,2,Shining Path (SL),5,Peru,1
22858,0,1,0,1,17,3,Irish Republican Army (IRA),6,United Kingdom,0
22864,0,1,0,1,1,3,Basque Fatherland and Freedom (ETA),6,Spain,1
22865,0,1,0,1,1,3,Basque Fatherland and Freedom (ETA),6,Spain,1
22866,0,1,0,1,1,3,Basque Fatherland and Freedom (ETA),6,Spain,1
22867,0,0,0,1,4,2,National Liberation Army of Colombia (ELN),5,Colombia,1
22868,0,1,0,1,2,3,Shining Path (SL),6,Peru,1
22869,0,1,0,1,21,3,Shining Path (SL),6,Peru,1
22873,0,1,0,1,19,7,Basque Fatherland and Freedom (ETA),8,Spain,1
22874,0,1,0,1,14,2,Basque Fatherland and Freedom (ETA),8,Spain,1
22875,0,1,0,1,1,3,Basque Fatherland and Freedom (ETA),6,Spain,1
22876,0,1,0,1,1,3,Basque Fatherland and Freedom (ETA),6,Spain,1
22877,0,1,0,1,1,3,Basque Fatherland and Freedom (ETA),6,Spain,1
22879,0,1,0,1,14,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22880,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22891,0,1,0,1,3,9,Shining Path (SL),13,Peru,1
22892,0,1,0,1,14,3,Revolutionary Armed Forces of Colombia (FARC),13,Colombia,1
22896,0,1,0,1,14,9,Shining Path (SL),13,Peru,1
22897,0,1,0,1,3,3,Irish Republican Army (IRA),6,United Kingdom,1
22898,0,1,0,1,2,3,African National Congress (South Africa),6,South Africa,1
22903,0,1,0,1,3,3,Separatists,6,Sri Lanka,0
22904,0,1,0,1,1,9,Manuel Rodriguez Patriotic Front (FPMR),13,Chile,1
22907,0,0,0,1,4,2,M-19 (Movement of April 19),5,Colombia,1
22908,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22909,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22912,0,1,0,1,21,3,Farabundo Marti National Liberation Front (FMLN),6,El Salvador,1
22913,0,1,0,1,21,3,Farabundo Marti National Liberation Front (FMLN),6,El Salvador,1
22914,0,1,0,1,21,3,Farabundo Marti National Liberation Front (FMLN),6,El Salvador,1
22915,0,1,0,1,21,3,Farabundo Marti National Liberation Front (FMLN),6,El Salvador,1
22916,0,1,0,1,21,3,Farabundo Marti National Liberation Front (FMLN),6,El Salvador,1
22922,0,0,0,1,4,2,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
22923,0,0,0,1,4,2,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
22924,0,0,0,1,4,2,Shining Path (SL),5,Peru,1
22925,0,1,0,1,19,2,Shining Path (SL),5,Peru,1
22931,0,1,0,1,3,2,Basque Fatherland and Freedom (ETA),5,Spain,1
22932,0,0,0,1,4,3,Kurdistan Workers' Party (PKK),6,Turkey,1
22933,0,0,0,1,4,9,Kurdistan Workers' Party (PKK),13,Turkey,1
22936,0,1,0,1,14,2,Shining Path (SL),5,Peru,1
22946,0,1,0,1,3,3,African National Congress (South Africa),6,South Africa,1
22947,0,1,0,1,14,3,African National Congress (South Africa),6,South Africa,1
22958,0,1,0,1,14,3,Shining Path (SL),13,Peru,1
22959,0,1,0,1,3,9,African National Congress (South Africa),13,South Africa,1
22963,0,0,0,1,4,2,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
22964,0,0,0,1,4,2,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
22965,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22966,0,1,0,1,14,2,Shining Path (SL),13,Peru,1
22967,0,1,0,0,1,6,Revolutionary Armed Forces of Colombia (FARC),13,Colombia,1
22970,0,1,0,1,3,3,Basque Fatherland and Freedom (ETA),6,Spain,1
22972,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22973,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22974,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
22975,0,1,0,1,14,2,Shining Path (SL),5,Peru,1
22987,0,0,0,1,4,2,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
22988,0,0,0,1,4,9,Farabundo Marti National Liberation Front (FMLN),13,El Salvador,1
22989,0,1,0,1,1,9,Shining Path (SL),13,Peru,1
22993,0,1,0,1,3,2,National Liberation Army of Colombia (ELN),5,Colombia,1
22994,0,1,0,1,14,2,Shining Path (SL),5,Peru,1
22999,0,1,0,1,3,2,Manuel Rodriguez Patriotic Front (FPMR),5,Chile,1
23000,0,1,0,1,3,2,Manuel Rodriguez Patriotic Front (FPMR),5,Chile,1
23001,0,1,0,1,3,2,Manuel Rodriguez Patriotic Front (FPMR),5,Chile,1
23002,0,1,0,1,1,2,Manuel Rodriguez Patriotic Front (FPMR),5,Chile,1
23003,0,1,0,1,3,2,Manuel Rodriguez Patriotic Front (FPMR),5,Chile,1
23004,0,1,0,1,3,2,Manuel Rodriguez Patriotic Front (FPMR),5,Chile,1
23005,0,1,0,1,3,2,Manuel Rodriguez Patriotic Front (FPMR),5,Chile,1
23008,0,1,0,1,1,3,Basque Fatherland and Freedom (ETA),13,Spain,1
23011,1,1,0,0,6,4,Sikh Extremists,9,India,1
23012,0,1,0,1,1,3,Basque Fatherland and Freedom (ETA),6,Spain,1
23015,0,1,0,1,2,3,Shining Path (SL),6,Peru,1
23016,0,1,0,1,1,3,Shining Path (SL),6,Peru,1
23027,0,1,0,1,2,3,Farabundo Marti National Liberation Front (FMLN),6,El Salvador,1
23029,0,1,0,1,14,7,Basque Fatherland and Freedom (ETA),8,Spain,1
23030,0,1,0,0,1,1,Shining Path (SL),5,Peru,1
23031,0,1,0,0,14,2,M-19 (Movement of April 19),5,Colombia,1
23032,0,1,0,0,14,2,M-19 (Movement of April 19),5,Colombia,1
23033,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
23034,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
23035,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
23036,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
23037,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
23057,0,1,0,1,14,2,Basque Fatherland and Freedom (ETA),8,Spain,1
23061,0,1,0,1,14,6,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
23062,1,1,0,1,14,2,Shining Path (SL),5,Peru,1
23090,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
23092,0,1,0,1,8,3,Corsican National Liberation Front (FLNC),6,France,1
23093,0,1,0,1,1,3,Corsican National Liberation Front (FLNC),6,France,1
23094,0,1,0,1,3,3,Corsican National Liberation Front (FLNC),6,France,1
23095,0,1,0,1,1,3,Corsican National Liberation Front (FLNC),6,France,1
23099,0,1,0,1,14,9,National Liberation Army of Colombia (ELN),13,Colombia,1
23100,0,1,0,0,3,1,Shining Path (SL),5,Peru,1
23103,0,1,0,1,2,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
23104,0,0,0,1,4,2,Shining Path (SL),5,Peru,1
23105,1,1,0,1,14,2,Shining Path (SL),5,Peru,1
23106,0,1,0,0,3,1,Shining Path (SL),5,Peru,1
23107,0,1,0,0,2,1,New People's Army (NPA),13,Philippines,1
23110,0,1,0,1,14,3,Separatists,6,Sri Lanka,1
23111,0,1,0,1,14,3,Separatists,6,Sri Lanka,1
23112,0,1,0,1,14,3,Separatists,6,Sri Lanka,1
23113,0,1,0,1,14,3,Separatists,6,Sri Lanka,1
23114,0,1,0,1,14,3,Separatists,6,Sri Lanka,1
23115,0,1,0,1,14,3,Separatists,6,Sri Lanka,1
23116,0,1,0,1,14,3,Separatists,6,Sri Lanka,1
23117,0,1,0,1,14,3,Separatists,6,Sri Lanka,1
23118,0,1,0,1,14,3,Separatists,6,Sri Lanka,1
23119,0,1,0,1,14,3,Separatists,6,Sri Lanka,1
23120,0,1,0,1,14,3,Separatists,6,Sri Lanka,1
23121,0,1,0,1,14,3,Separatists,6,Sri Lanka,1
23122,0,1,0,1,14,3,Separatists,6,Sri Lanka,1
23134,0,1,0,1,1,3,Tupac Amaru Revolutionary Movement (MRTA),13,Peru,1
23136,0,1,0,0,2,1,Shining Path (SL),13,Peru,1
23137,1,1,0,1,1,2,Sikh Extremists,9,India,1
23138,0,1,0,1,14,2,Shining Path (SL),9,Peru,1
23139,0,1,0,1,14,9,Shining Path (SL),13,Peru,1
23141,0,1,0,1,3,3,Separatists,6,Sri Lanka,1
23142,0,1,0,1,2,9,National Liberation Army of Colombia (ELN),13,Colombia,1
23143,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
23144,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
23145,0,1,0,1,16,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
23149,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
23150,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
23152,0,1,0,1,14,2,Shining Path (SL),5,Peru,1
23161,0,0,0,1,4,2,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
23162,0,1,0,1,14,2,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
23165,0,0,0,1,4,2,Shining Path (SL),5,Peru,1
23166,0,1,0,1,14,7,Shining Path (SL),5,Peru,1
23176,0,1,0,1,1,3,Shining Path (SL),6,Peru,1
23177,0,1,0,1,1,3,Shining Path (SL),6,Peru,1
23178,0,1,0,1,1,3,Shining Path (SL),6,Peru,1
23179,0,1,0,1,1,3,Shining Path (SL),6,Peru,1
23180,0,1,0,1,1,3,Shining Path (SL),6,Peru,1
23181,0,1,0,0,3,1,Shining Path (SL),5,Peru,1
23184,0,0,0,1,4,2,Farabundo Marti National Liberation Front (FMLN),5,El Salvador,1
23188,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
23189,0,1,0,1,19,2,Shining Path (SL),5,Peru,1
23190,0,1,0,1,14,9,Shining Path (SL),13,Peru,1
23191,0,1,0,1,19,3,Irish Republican Army (IRA),6,United Kingdom,1
23192,0,1,0,1,21,3,African National Congress (South Africa),6,South Africa,1
23193,0,1,0,0,2,3,African National Congress (South Africa),6,South Africa,0
23201,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
23202,0,1,0,1,14,2,Shining Path (SL),5,Peru,1
23207,0,1,0,1,21,3,African National Congress (South Africa),6,South Africa,1
23214,0,1,0,1,14,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
23215,0,1,0,1,14,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
23216,0,1,0,1,14,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
23217,0,0,0,1,4,2,Nicaraguan Democratic Force (FDN),5,Nicaragua,1
23219,0,1,0,1,1,9,Irish Republican Army (IRA),13,United Kingdom,1
23220,0,1,0,0,2,6,Nicaraguan Democratic Force (FDN),13,Nicaragua,1
23221,0,1,0,0,2,6,Nicaraguan Democratic Force (FDN),13,Nicaragua,1
23222,0,1,0,0,2,6,Nicaraguan Democratic Force (FDN),13,Nicaragua,1
